num_decks,shuffle_point,repeats,shoes_per_run,avg_EV_per_hand,avg_EV_percent,avg_net_profit,avg_win_rate,avg_loss_rate,avg_push_rate
1,0.25,15,500,-0.01363333333333333,-0.1363333333333333,20.666666666666668,0.43833333333333335,0.48138,0.08107333333333333
1,0.33,15,500,-0.09081333333333333,-0.9081333333333333,-226.33333333333334,0.43393333333333334,0.4842,0.08275333333333333
1,0.5,15,500,-0.07790666666666667,-0.7790666666666666,-107.33333333333333,0.43762,0.48256,0.08098666666666667
1,0.75,15,500,-0.24396666666666667,-2.4396666666666667,-314.6666666666667,0.42928666666666665,0.4908,0.08200666666666667
2,0.25,15,500,-0.13487333333333335,-1.3487333333333333,-930.3333333333334,0.43224,0.48414,0.08402666666666667
2,0.33,15,500,-0.14512,-1.4512,-911.0,0.4316066666666667,0.4843,0.08454666666666667
2,0.5,15,500,-0.12813333333333332,-1.2813333333333332,-558.3333333333334,0.4315466666666667,0.48379333333333335,0.08524666666666667
2,0.75,15,500,-0.199,-1.9900000000000002,-455.6666666666667,0.4305,0.48633333333333334,0.08431999999999999
3,0.25,15,500,-0.11849333333333334,-1.1849333333333334,-1229.3333333333333,0.43208,0.48374,0.08446666666666666
3,0.33,15,500,-0.06862,-0.6862,-602.6666666666666,0.43459333333333333,0.4813133333333333,0.08439333333333333
3,0.5,15,500,-0.06277333333333333,-0.6277333333333334,-388.3333333333333,0.43515333333333334,0.4808266666666667,0.08443333333333333
3,0.75,15,500,-0.14707333333333333,-1.4707333333333332,-490.6666666666667,0.43232,0.48357333333333336,0.08491333333333333
4,0.25,15,500,-0.08126,-0.8126,-1094.3333333333333,0.4336666666666667,0.48158666666666666,0.08494
4,0.33,15,500,-0.08818,-0.8817999999999999,-1088.3333333333333,0.43351333333333336,0.482,0.08470666666666667
4,0.5,15,500,-0.13319333333333333,-1.3319333333333332,-1223.3333333333333,0.43111333333333335,0.48456666666666665,0.08462
4,0.75,15,500,-0.03972666666666667,-0.3972666666666667,-129.66666666666666,0.43674666666666667,0.48023333333333335,0.08364
6,0.25,15,500,-0.13629333333333332,-1.362933333333333,-2890.3333333333335,0.4308866666666667,0.48356,0.08568666666666666
6,0.33,15,500,-0.11801333333333333,-1.1801333333333335,-2245.0,0.4316333333333333,0.4829333333333333,0.08556666666666667
6,0.5,15,500,-0.10241333333333333,-1.0241333333333333,-1401.0,0.43321333333333334,0.48236,0.08463333333333334
6,0.75,15,500,-0.1777,-1.7770000000000001,-1236.6666666666667,0.42950666666666665,0.48501333333333335,0.08588666666666667
8,0.25,15,500,-0.11024,-1.1024,-3088.0,0.43227333333333334,0.48228,0.08553333333333334
8,0.33,15,500,-0.11131333333333333,-1.1131333333333333,-2769.3333333333335,0.43237333333333333,0.48242,0.08530666666666667
8,0.5,15,500,-0.12726666666666667,-1.2726666666666668,-2372.3333333333335,0.4308866666666667,0.483,0.08627333333333334
8,0.75,15,500,-0.13165333333333334,-1.3165333333333336,-1182.0,0.4322666666666667,0.4829333333333333,0.08508666666666667
